Albedometer,Attic,Diurnal,ERV,Globe_thermometers,Indoors,Loops_deltaTs,Loops_elec_draws,Loops_flow_rates,Loops_heat_transfer,Loops_temperatures,Sand_moisture,Sand_temperatures,Weather,ZCL,Passive_solar,Surfaces,GroundT,Performance_metrics_data,Performance_metrics_data_no_ZCL4
time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,day,day
CMA-6_upward,T_north,TC(1-1),OA,Globe(1),TC(1-1),TP1,water-HP,FM1,solar+dis,TC(1-a),VWC(A-1-1),TC(A-1-1),GHI-CMP10,TC(1-1),q_east_solar,Surf1,TC(1-1),GHI,GHI
CMA-6_downward,T_middle,TC(1-2),SA,Globe(2),TC(1-2),TP2,aux-phaseA,FM2,solar,TC(1-b),VWC(A-1-2),TC(A-1-2),Tilt60,TC(1-2),q_south_solar,Surf2,TC(1-2),DHI,DHI
albedo,T_south,TC(1-3),RA,Globe(3),TC(1-3),TP3,aux-phaseB,FM3,Tmax_bio,TC(1-c),VWC(A-2-1),TC(A-1-3),Vert_Ext,TC(1-3),q_west_solar,Surf3,TC(1-3),I_coll,I_coll
,,TC(1-4),Exh,Globe(4),TC(2-1),TP4,pre-trans,FM4,Tmax_H2O,TC(1-d),VWC(A-2-2),TC(A-1-4),Vert_Int,TC(1-4),,Surf4,TC(2-1),I_vt_ext,I_vt_ext
,,TC(1-5),,Globe(5),TC(2-2),TP5,post-trans,FM5,ZCL_bio,TC(2-a),VWC(B-1-1),TC(A-1-5),GHI-SPN1,TC(1-5),,Surf5,TC(2-2),amb_temp,amb_temp
,,TC(1-6),,Globe(6),TC(2-3),TP6,,FM6,ZCL_H2O,TC(2-b),VWC(B-1-2),TC(A-1-6),DHI,TC(1-6),,Surf6,TC(2-3),rel_hum,rel_hum
,,TC(1-7),,Globe(7),TC(3-1),TP7,,FM7,sand_bio,TC(2-c),VWC(B-2-1),TC(A-2-1),wind-speed,TC(1-7),,Surf7,,wind_spd,wind_spd
,,TC(1-8),,Globe(8),TC(3-2),TP8,,FM8,sand_H2O,TC(2-d),VWC(B-2-2),TC(A-2-2),wind-dir,TC(1-8),,Surf8,,atm_pres,atm_pres
,,TC(2-1),,,TC(3-3),TP9,,FM9,DHW_draw,TC(3-a),VWC(C-1-1),TC(A-2-3),temp,TC(1-9),,Surf9,,attic,attic
,,TC(2-2),,,TC(4-1),TP10,,FM10,dissipate,TC(3-b),VWC(C-1-2),TC(A-2-4),RH,TC(1-10),,Surf10,,2nd_st,2nd_st
,,TC(2-3),,,TC(4-2),TP11,,FM11,DHW_cool,TC(3-c),VWC(C-2-1),TC(A-2-5),,TC(1-11),,Surf11,,grnd_st,grnd_st
,,TC(2-4),,,TC(4-3),TP12,,,aux_boil,TC(3-d),VWC(C-2-2),TC(A-2-6),,TC(1-12),,Surf12,,basement,basement
,,TC(2-5),,,TC(5-1),TP13,,,Tmax_2_SH,TC(4-a),,TC(A-3-1),,TC(1-13),,Surf13,,ZCL_temp,Z_g_1
,,TC(2-6),,,TC(5-2),TP14,,,D1_to_SH,TC(4-b),,TC(A-3-2),,TC(1-14),,Surf14,,Z_Meas_d,Z_g_2
,,TC(2-7),,,TC(5-3),TP15,,,D2_to_SH,TC(4-c),,TC(A-3-3),,TC(1-15),,Surf15,,S5,Z_g_3
,,TC(2-8),,,TC(6-1),TP16,,,ZCL_to_SH,TC(4-d),,TC(A-3-4),,TC(1-16),,Surf16,,S4,sand_tmp
,,TC(3-1),,,TC(6-2),TP17,,,SH_fr_ZCL,TC(5-a),,TC(A-3-5),,TC(1-17),,Surf17,,S3,S_Meas_d
,,TC(3-2),,,TC(6-3),,,,Tmax_2_D1,TC(5-b),,TC(A-3-6),,TC(1-18),,Surf18,,S2,S_A
,,TC(3-3),,,TC(7-1),,,,Tmax_2_D2,TC(5-c),,TC(A-4-1),,TC(1-19),,Surf19,,S1,S_B
,,TC(3-4),,,TC(7-2),,,,flr_heat,TC(5-d),,TC(A-4-2),,TC(1-20),,Surf20,,N3,S_C
,,TC(3-5),,,TC(7-3),,,,flr_cool,TC(6-a),,TC(A-4-3),,TC(1-21),,Surf21,,N4,S_VWC
,,TC(3-6),,,TC(8-1),,,,HP_cond,TC(6-b),,TC(A-4-4),,TC(1-22),,,,N5,S_VWC_A
,,TC(3-7),,,TC(8-2),,,,HP_evap,TC(6-c),,TC(A-4-5),,TC(1-23),,,,Z_g_1,S_VWC_B
,,TC(3-8),,,TC(8-3),,,,sand_dmp1,TC(6-d),,TC(A-4-6),,TC(1-24),,,,Z_g_2,S_VWC_C
,,TC(4-1),,,TC(9-1),,,,sand_dmp2,TC(7-a),,TC(A-5-1),,TC(1-25),,,,Z_g_3,S_g_2_0
,,TC(4-2),,,TC(9-2),,,,virt_diur,TC(7-b),,TC(A-5-2),,TC(2-1),,,,sand_tmp,S_g_2_7
,,TC(4-3),,,TC(9-3),,,,sand_2_SH,TC(7-c),,TC(A-5-3),,TC(2-2),,,,S_Meas_d,S_g_3_3
,,TC(4-4),,,TC(10-1),,,,SH_f_sand,TC(7-d),,TC(A-5-4),,TC(2-3),,,,S_A,Tmax
,,TC(4-5),,,TC(10-2),,,,,TC(8-a),,TC(A-5-5),,TC(2-4),,,,S_B,D1
,,TC(4-6),,,TC(10-3),,,,,TC(8-b),,TC(A-5-6),,TC(2-5),,,,S_C,D2
,,TC(4-7),,,TC(11-1),,,,,TC(8-c),,TC(A-6-1),,TC(2-6),,,,S_VWC,ColdTank
,,TC(4-8),,,TC(11-2),,,,,TC(8-d),,TC(A-6-2),,TC(2-7),,,,S_VWC_A,Coll_sol
,,,,,TC(11-3),,,,,TC(9-a),,TC(A-6-3),,TC(2-8),,,,S_VWC_B,SRCC_sol
,,,,,TC(12-1),,,,,TC(9-b),,TC(A-6-4),,TC(2-9),,,,S_VWC_C,En_TP17
,,,,,TC(12-2),,,,,TC(9-c),,TC(A-6-5),,TC(2-10),,,,S_g_2_0,En_TP16
,,,,,TC(12-3),,,,,TC(9-d),,TC(A-6-6),,TC(2-11),,,,S_g_2_7,En_rej
,,,,,TC(13-1),,,,,TC(10-a),,TC(B-1-1),,TC(2-12),,,,S_g_3_3,En_Tmax
,,,,,TC(13-2),,,,,TC(10-b),,TC(B-1-2),,TC(2-13),,,,Tmax,En_ZCL
,,,,,TC(13-3),,,,,TC(10-c),,TC(B-1-3),,TC(2-14),,,,D1,En_Sand
,,,,,TC(14-1),,,,,TC(10-d),,TC(B-1-4),,TC(2-15),,,,D2,En_Virt
,,,,,TC(14-2),,,,,TC(11-a),,TC(B-1-5),,TC(2-16),,,,ColdTank,DHW_targ
,,,,,TC(14-3),,,,,TC(11-b),,TC(B-1-6),,TC(2-17),,,,Coll_sol,D_2_DHW
,,,,,TC(15-1),,,,,TC(11-c),,TC(B-2-1),,TC(2-18),,,,SRCC_sol,D_2_SH
,,,,,TC(15-2),,,,,TC(11-d),,TC(B-2-2),,TC(2-19),,,,En_TP17,Z_2_SH
,,,,,TC(15-3),,,,,TC(12-a),,TC(B-2-3),,TC(2-20),,,,En_TP16,S_2_SH
,,,,,,,,,,TC(12-b),,TC(B-2-4),,TC(2-21),,,,En_rej,A_2_SH
,,,,,,,,,,TC(12-c),,TC(B-2-5),,TC(2-22),,,,En_Tmax,SH_deliv
,,,,,,,,,,TC(12-d),,TC(B-2-6),,TC(2-23),,,,En_ZCL,Sol_gain
,,,,,,,,,,TC(13-a),,TC(B-3-1),,TC(2-24),,,,En_Sand,F_2_CT
,,,,,,,,,,TC(13-b),,TC(B-3-2),,TC(2-25),,,,En_Virt,CT_2_HP
,,,,,,,,,,TC(13-c),,TC(B-3-3),,TC(3-1),,,,DHW_targ,HP_2_HT
,,,,,,,,,,TC(13-d),,TC(B-3-4),,TC(3-2),,,,D_2_DHW,S_frm_HT
,,,,,,,,,,TC(14-a),,TC(B-3-5),,TC(3-3),,,,D_2_SH,HT_2_S
,,,,,,,,,,TC(14-b),,TC(B-3-6),,TC(3-4),,,,Z_2_SH,El_HP
,,,,,,,,,,TC(14-c),,TC(B-4-1),,TC(3-5),,,,S_2_SH,El_Pre
,,,,,,,,,,TC(14-d),,TC(B-4-2),,TC(3-6),,,,A_2_SH,El_Post
,,,,,,,,,,TC(15-a),,TC(B-4-3),,TC(3-7),,,,SH_deliv,
,,,,,,,,,,TC(15-b),,TC(B-4-4),,TC(3-8),,,,Sol_gain,
,,,,,,,,,,TC(15-c),,TC(B-4-5),,TC(3-9),,,,F_2_CT,
,,,,,,,,,,TC(15-d),,TC(B-4-6),,TC(3-10),,,,CT_2_HP,
,,,,,,,,,,TC(16-a),,TC(B-5-1),,TC(3-11),,,,HP_2_HT,
,,,,,,,,,,TC(16-b),,TC(B-5-2),,TC(3-12),,,,S_frm_HT,
,,,,,,,,,,TC(16-c),,TC(B-5-3),,TC(3-13),,,,HT_2_S,
,,,,,,,,,,TC(16-d),,TC(B-5-4),,TC(3-14),,,,El_HP,
,,,,,,,,,,TC(17-a),,TC(B-5-5),,TC(3-15),,,,El_Pre,
,,,,,,,,,,TC(17-b),,TC(B-5-6),,TC(3-16),,,,El_Post,
,,,,,,,,,,TC(17-c),,TC(B-6-1),,TC(3-17),,,,,
,,,,,,,,,,TC(17-d),,TC(B-6-2),,TC(3-18),,,,,
,,,,,,,,,,,,TC(B-6-3),,TC(3-19),,,,,
,,,,,,,,,,,,TC(B-6-4),,TC(3-20),,,,,
,,,,,,,,,,,,TC(B-6-5),,TC(3-21),,,,,
,,,,,,,,,,,,TC(B-6-6),,TC(3-22),,,,,
,,,,,,,,,,,,TC(C-1-1),,TC(3-23),,,,,
,,,,,,,,,,,,TC(C-1-2),,TC(3-24),,,,,
,,,,,,,,,,,,TC(C-1-3),,TC(3-25),,,,,
,,,,,,,,,,,,TC(C-1-4),,,,,,,
,,,,,,,,,,,,TC(C-1-5),,,,,,,
,,,,,,,,,,,,TC(C-1-6),,,,,,,
,,,,,,,,,,,,TC(C-2-1),,,,,,,
,,,,,,,,,,,,TC(C-2-2),,,,,,,
,,,,,,,,,,,,TC(C-2-3),,,,,,,
,,,,,,,,,,,,TC(C-2-4),,,,,,,
,,,,,,,,,,,,TC(C-2-5),,,,,,,
,,,,,,,,,,,,TC(C-2-6),,,,,,,
,,,,,,,,,,,,TC(C-3-1),,,,,,,
,,,,,,,,,,,,TC(C-3-2),,,,,,,
,,,,,,,,,,,,TC(C-3-3),,,,,,,
,,,,,,,,,,,,TC(C-3-4),,,,,,,
,,,,,,,,,,,,TC(C-3-5),,,,,,,
,,,,,,,,,,,,TC(C-3-6),,,,,,,
,,,,,,,,,,,,TC(C-4-1),,,,,,,
,,,,,,,,,,,,TC(C-4-2),,,,,,,
,,,,,,,,,,,,TC(C-4-3),,,,,,,
,,,,,,,,,,,,TC(C-4-4),,,,,,,
,,,,,,,,,,,,TC(C-4-5),,,,,,,
,,,,,,,,,,,,TC(C-4-6),,,,,,,
,,,,,,,,,,,,TC(C-5-1),,,,,,,
,,,,,,,,,,,,TC(C-5-2),,,,,,,
,,,,,,,,,,,,TC(C-5-3),,,,,,,
,,,,,,,,,,,,TC(C-5-4),,,,,,,
,,,,,,,,,,,,TC(C-5-5),,,,,,,
,,,,,,,,,,,,TC(C-5-6),,,,,,,
,,,,,,,,,,,,TC(C-6-1),,,,,,,
,,,,,,,,,,,,TC(C-6-2),,,,,,,
,,,,,,,,,,,,TC(C-6-3),,,,,,,
,,,,,,,,,,,,TC(C-6-4),,,,,,,
,,,,,,,,,,,,TC(C-6-5),,,,,,,
,,,,,,,,,,,,TC(C-6-6),,,,,,,
